,vendor_id,city_name,specialisation,successful_orders,fail_orders,reorders,dolya,id_x,model_score_x,id_y,model_score_y
610,13417,Тверь,Суши,88.0,0.0,1.0,0.0,13417,0.30751625448465303,13417,0.30751625448465303
611,18002,Тверь,Пицца,407.0,1.0,2.0,0.0024390243902439024,18002,0.719499878585339,18002,0.719499878585339
612,36862,Тверь,Суши,3.0,4.0,1.0,0.5,36862,0.593288243748248,36862,0.593288243748248
613,37490,Тверь,Суши,245.0,4.0,1.0,0.016,37490,0.682210597675294,37490,0.682210597675294
614,30407,Тверь,Бургеры,109.0,2.0,5.0,0.017241379310344827,30407,0.6919366726651789,30407,0.6919366726651789
615,16336,Тверь,Пицца,265.0,3.0,3.0,0.01107011070110701,16336,0.282679218333215,16336,0.282679218333215
616,18358,Тверь,Пицца,337.0,5.0,10.0,0.014204545454545454,18358,0.48316082358360296,18358,0.48316082358360296
617,12538,Тверь,Суши,79.0,2.0,1.0,0.024390243902439025,12538,0.912382642738521,12538,0.912382642738521
618,36967,Тверь,Десерты,0.0,2.0,1.0,0.6666666666666666,36967,0.0621038489043713,36967,0.0621038489043713
619,21154,Тверь,Шашлыки,7.0,3.0,2.0,0.25,21154,0.99107705289498,21154,0.99107705289498
620,35441,Тверь,Пироги,166.0,2.0,0.0,0.011904761904761904,35441,0.11391567159444099,35441,0.11391567159444099
621,14161,Тверь,Суши,445.0,17.0,23.0,0.03505154639175258,14161,0.980947634670883,14161,0.980947634670883
622,28697,Тольятти,Суши,54.0,0.0,0.0,0.0,28697,0.647487010341138,28697,0.647487010341138
623,10201,Тольятти,Суши,27.0,0.0,0.0,0.0,10201,0.6734145032241939,10201,0.6734145032241939
624,33782,Тольятти,Фастфуд,17.0,0.0,0.0,0.0,33782,0.184737695381045,33782,0.184737695381045
625,10196,Тольятти,Суши,118.0,3.0,0.0,0.024793388429752067,10196,0.8089515413157641,10196,0.8089515413157641
626,9726,Тольятти,Японская,461.0,0.0,4.0,0.0,9726,0.8381507708691059,9726,0.8381507708691059
627,9226,Тольятти,Суши,294.0,1.0,1.0,0.0033783783783783786,9226,0.00755409384146333,9226,0.00755409384146333
628,34436,Тольятти,Бургеры,22.0,0.0,2.0,0.0,34436,0.375496081076562,34436,0.375496081076562
629,29325,Тольятти,Рыба,58.0,3.0,1.0,0.04838709677419355,29325,0.9843128249049191,29325,0.9843128249049191
630,26328,Тольятти,Индийская,75.0,0.0,2.0,0.0,26328,0.8122599311172959,26328,0.8122599311172959
631,30176,Тольятти,Рыба,15.0,0.0,0.0,0.0,30176,0.548102186527103,30176,0.548102186527103
632,9878,Тольятти,Супы,14.0,0.0,2.0,0.0,9878,0.888342132326216,9878,0.888342132326216
633,13882,Тольятти,Супы,480.0,14.0,3.0,0.028169014084507043,13882,0.847036866936833,13882,0.847036866936833
